source	COPEB	ELK1	GATA3	IRF4	JUN	MAF	MYB	NFATC3	NFKB1	RELA	STAT3	USF2
ADD2	0	0	0	0	0	0	0	0	0	0	0	1
ADD3	1	0	0	1	0	0	1	0	0	0	0	1
PLIN2	1	0	0	0	0	0	0	1	0	0	0	0
ADH5	0	0	0	0	0	0	0	1	1	0	0	0
ADK	0	1	1	0	1	0	0	1	0	0	0	1
ADORA2A	0	0	0	0	0	0	1	1	0	0	1	1
PARP1	0	0	1	1	0	0	1	1	1	0	1	1
PARP4	1	1	1	1	1	1	1	1	1	1	1	1
ADRA1D	1	1	1	1	1	1	1	1	1	1	1	1
ADRB2	0	1	0	0	1	0	0	1	0	0	0	1
ADRBK1	1	1	1	1	1	1	1	1	1	1	1	1
ADRBK2	1	0	1	0	0	0	0	0	1	0	0	1
ADSL	0	1	1	0	1	0	1	1	0	0	0	0
ADSS	0	0	0	0	1	0	0	0	0	0	0	1
AP2A1	0	0	0	1	0	0	0	0	0	0	0	0
AP2A2	0	0	0	0	0	0	1	1	1	0	0	0
AP1B1	0	0	0	0	0	1	0	0	0	0	0	0
AP2B1	1	0	0	0	0	0	0	1	0	0	0	0
AP1G1	1	0	1	0	1	0	0	0	1	0	0	0
AEBP1	1	1	1	1	1	1	1	1	1	1	1	1
AES	0	0	0	0	0	0	0	1	0	0	0	0
AFG3L1	1	1	1	1	1	1	1	1	1	1	1	1
AGA	1	0	1	1	1	0	0	1	0	0	1	0
AGER	1	1	1	1	1	1	1	1	1	1	1	1
AGL	1	0	0	0	0	0	0	1	0	0	0	0
AHCY	1	1	1	1	1	1	1	1	1	1	1	1
AHR	0	0	0	0	1	0	0	0	0	0	0	0
AIF1	0	0	1	0	0	0	0	0	0	0	0	1
AIM1	1	0	1	1	0	0	0	1	1	1	0	1
AK1	0	0	0	0	0	0	0	1	0	0	0	0
AK2	1	0	0	0	0	0	0	1	0	1	1	0
AK3L1	1	1	1	1	1	1	1	1	1	1	1	1
AKT1	0	0	0	0	0	0	0	1	0	0	0	0
AKT2	0	0	0	0	0	0	1	1	0	0	0	0
ALAD	0	0	0	0	0	0	0	1	0	0	0	0
ALAS1	0	0	0	0	0	0	0	1	0	0	0	0
ALDH2	0	0	0	0	0	0	1	1	0	0	0	0
ALDH1B1	1	1	1	1	1	1	1	1	1	1	1	1
ALDH9A1	0	0	0	0	0	0	0	1	0	0	1	0
ALDH3A2	1	1	1	1	1	1	1	1	1	1	1	1
ALDOA	1	0	0	0	0	0	0	1	1	0	0	0
ALDOAP2	1	1	1	1	1	1	1	1	1	1	1	1
ALDOC	1	1	1	1	1	1	1	1	1	1	1	1
AKR1B1	0	1	0	0	0	0	0	0	0	0	0	0
ALOX5AP	1	0	1	0	1	0	0	1	1	0	0	1
ALPP	0	0	0	0	1	0	0	0	0	0	0	0
ALPPL2	1	0	0	0	0	0	0	1	0	0	0	0
AMD1	1	0	1	1	1	0	1	0	0	0	0	1
AMFR	0	0	0	0	0	0	0	0	0	0	1	0
AMH	1	1	1	1	1	1	1	1	1	1	1	1
AMPD2	0	0	0	0	0	0	0	1	0	0	0	0
AMPD3	0	0	0	0	0	0	0	1	0	0	0	0
BIN1	0	0	0	0	0	0	0	0	1	0	0	1
AMT	1	1	1	1	1	1	1	1	1	1	1	1
AMY1C	1	1	1	1	1	1	1	1	1	1	1	1
ANK1	0	0	1	0	1	1	0	1	1	0	0	1
ANK3	1	1	1	0	1	0	1	0	0	1	0	1
SLC25A4	0	0	0	0	0	0	1	1	0	0	0	0
SLC25A5	0	0	0	0	0	0	1	1	0	0	0	0
SLC25A6	1	1	1	1	1	1	1	1	1	1	1	1
ANXA1	1	0	1	1	0	0	0	0	0	1	1	1
ANXA2	0	0	1	0	1	0	0	0	0	0	0	0
ANXA2P1	1	1	1	1	1	1	1	1	1	1	1	1
ANXA4	1	1	0	1	0	0	1	1	0	1	0	1
ANXA5	0	0	0	0	0	0	0	1	1	0	0	0
ANXA6	1	0	0	1	0	0	0	1	0	0	0	0
ANXA7	0	1	0	0	0	1	0	0	0	0	0	1
ANXA11	1	1	1	1	1	1	1	1	1	1	1	1
AOAH	1	1	1	1	0	0	1	1	0	0	1	1
NUDT2	1	1	1	1	1	1	1	1	1	1	1	1
APBA2	0	1	1	0	1	0	0	1	0	0	0	0
APBB1	0	0	0	0	0	0	0	1	0	0	0	0
APEH	1	1	1	1	1	1	1	1	1	1	1	1
APEX1	1	1	1	1	1	1	1	1	1	1	1	1
BIRC2	1	1	0	1	0	0	0	0	0	0	0	0
BIRC3	0	1	0	1	0	0	0	0	0	0	0	0
XIAP	0	1	0	0	0	0	0	0	0	0	0	0
APLP1	0	0	0	0	0	0	1	0	0	0	0	0
APLP2	1	1	1	1	1	1	1	1	1	1	1	1
APOE	1	1	1	1	1	1	1	1	1	1	1	1
APP	1	1	1	0	1	0	1	0	0	0	0	0
APRT	0	0	0	0	0	0	0	1	0	0	0	0
KLK3	1	1	1	1	1	1	1	1	1	1	1	1
FAS	0	0	0	0	0	0	0	0	0	1	0	0
FASLG	1	0	0	0	1	0	0	0	0	0	0	0
AQP2	0	0	0	0	1	0	0	0	0	0	0	0
AQP3	0	0	0	0	1	0	0	1	0	0	1	0
AQP5	0	0	0	0	0	0	0	1	0	0	0	0
ARAF	0	1	0	0	0	0	0	0	0	0	0	0
ARCN1	0	0	0	0	0	0	0	0	1	0	0	0
AREG	0	0	1	1	0	0	0	0	0	0	0	0
ARF1	1	1	1	1	1	1	1	1	1	1	1	1
ARF3	0	0	0	0	1	0	0	0	0	0	0	0
ARF4	0	0	0	0	0	0	0	1	1	0	1	1
ARL4D	1	1	1	1	1	1	1	1	1	1	1	1
ARF5	1	1	1	1	1	1	1	1	1	1	1	1
ARF6	0	0	0	0	0	0	0	1	0	0	1	0
ARG2	1	1	1	1	1	1	1	1	1	1	1	1
RHOA	0	0	0	1	0	0	0	1	0	0	0	0
RHOC	1	1	1	1	1	1	1	1	1	1	1	1
RHOG	1	1	1	1	1	1	1	1	1	1	1	1
ARHGAP1	0	0	1	0	0	0	0	1	0	1	1	0
ARHGAP4	0	0	0	0	0	0	0	1	0	0	0	1
ARHGAP5	0	0	1	0	0	1	1	1	0	0	0	0
ARHGDIA	0	0	0	0	0	0	0	0	0	0	1	0
ARHGDIB	0	0	0	0	1	0	0	1	0	0	0	0
RHOH	1	1	1	1	0	0	0	0	1	0	0	0
ARL1	1	1	1	1	1	1	1	1	1	1	1	1
PHOX2A	0	0	0	0	0	0	1	0	0	0	0	0
ARL2	0	0	0	0	0	0	0	0	1	0	0	1
ARL3	0	0	1	0	0	0	0	1	0	0	0	0
ARNT	0	0	1	1	1	0	0	0	1	0	0	1
ARNTL	0	0	0	1	0	0	1	0	1	0	0	1
ARRB2	1	0	0	0	0	0	0	1	0	0	0	0
ARSA	0	0	0	0	0	0	0	0	0	0	0	1
ASAH1	0	0	0	0	0	0	0	0	0	0	1	0
ASGR1	1	0	0	1	0	0	1	0	0	0	0	0
ASL	1	0	0	0	0	0	0	1	0	0	0	0
ASNA1	1	1	1	1	1	1	1	1	1	1	1	1
ASNS	1	0	0	0	0	0	1	0	0	0	0	0
ASPH	1	1	0	1	1	0	0	0	0	0	0	0
ZFHX3	1	1	1	1	1	1	1	1	1	1	1	1
ATF1	1	1	1	1	1	1	1	1	1	1	1	1
ATF3	1	0	0	0	0	0	0	0	0	0	0	0
ATF4	0	0	0	0	0	0	0	1	0	0	0	0
ATIC	0	1	1	1	0	0	1	0	0	0	0	0
RERE	1	1	1	1	1	0	1	1	1	1	1	1
ATOX1	0	0	0	0	0	0	0	1	0	0	1	0
ATP1A1	1	0	0	0	0	0	0	1	0	0	0	1
ATP1A3	0	0	0	0	0	0	0	1	0	0	1	0
ATP1A4	1	0	0	1	0	0	0	0	0	1	0	0
ATP1B1	0	0	0	0	0	0	0	0	1	0	0	0
ATP1B3	1	0	0	0	0	0	0	1	1	1	0	1
FXYD2	1	0	0	1	0	0	0	1	0	0	0	0
ATP2A2	1	1	1	0	0	0	1	0	1	0	0	0
ATP2A3	0	0	0	0	0	0	0	1	0	0	0	0
ATP2B1	0	0	0	1	0	0	0	0	0	0	0	0
ATP2B4	1	0	0	0	1	0	1	1	0	0	0	0
ATP5A1	0	0	0	1	0	0	0	0	0	0	0	1
ATP5B	1	1	1	1	1	1	1	1	1	1	1	1
ATP5C1	1	1	1	1	1	1	1	1	1	1	1	1
ATP5D	0	0	0	0	0	1	0	0	0	0	0	0
ATP5E	1	1	1	1	1	1	1	1	1	1	1	1
ATP5F1	0	0	0	0	0	0	0	1	0	1	0	0
ATP5G1	1	0	0	0	0	0	1	1	0	1	1	0
ATP5G2	0	0	1	0	1	0	0	1	0	0	0	0
ATP5G3	0	0	1	0	0	0	0	0	0	0	0	0
ATP5I	1	1	1	1	1	1	1	1	1	1	1	1
ATP5J	1	1	1	1	1	1	1	1	1	1	1	1
ATP6V1A	1	0	0	0	0	0	0	0	0	0	0	0
ATP6V1B2	1	0	0	0	0	0	0	1	0	0	0	0
ATP6V0C	1	1	1	1	1	1	1	1	1	1	1	1
ATP6V1C1	0	0	0	0	0	0	0	0	1	0	0	0
ATP6V1E1	1	0	1	0	0	0	0	0	0	0	0	0
ATP6V0B	0	0	0	0	0	0	0	0	0	1	0	0
ATP6V1G2	1	1	1	1	1	1	1	1	1	1	1	1
ATP6V0A1	1	0	0	1	0	0	1	1	0	0	0	0
ATP6AP1	1	1	1	1	1	1	1	1	1	1	1	1
ATP7A	1	0	0	0	0	0	0	0	0	1	0	0
ATP5O	1	1	1	1	1	1	1	1	1	1	1	1
ATP7B	0	0	1	0	1	0	0	0	0	1	0	0
ATR	1	0	0	1	0	0	1	0	0	0	0	0
ATRX	1	0	1	0	0	0	1	0	0	0	0	0
AUH	1	1	1	1	1	0	1	1	0	0	1	1
AUP1	0	0	0	0	0	0	1	0	1	0	0	0
AVP	1	0	0	0	0	0	1	0	1	0	0	0
AXL	0	0	0	0	1	0	0	0	0	0	0	0
B2M	1	1	0	1	0	0	1	1	0	0	1	0
BACH1	0	1	1	0	0	0	0	0	0	0	0	0
BAD	0	0	0	0	0	0	0	1	0	0	0	0
BAG1	1	1	1	1	1	1	1	1	1	1	1	1
BAGE	1	1	0	1	1	0	0	1	0	1	0	0
BAI1	0	0	0	0	0	0	0	1	0	0	0	0
BAK1	0	1	0	1	0	0	0	1	1	0	0	0
BARD1	1	0	0	0	1	0	0	0	0	0	0	0
BAX	0	0	0	0	0	0	0	0	0	0	0	1
BBS1	0	0	0	0	0	1	0	0	0	0	0	0
BBS2	0	0	0	0	1	0	0	0	0	0	0	0
BBS4	1	0	0	1	0	0	0	0	0	0	0	0
BCAT2	0	0	0	0	0	0	0	0	1	0	0	0
BCKDHA	1	1	1	1	1	1	1	1	1	1	1	1
BCKDHB	1	0	1	0	1	0	0	0	1	0	1	0
BCL2	1	0	1	1	1	0	1	1	1	1	1	1
BCL2A1	1	0	0	1	1	0	0	0	0	0	0	1
BCL2L1	0	0	1	1	1	0	1	1	0	0	0	0
BCL2L2	1	1	1	1	1	1	1	1	1	1	1	1
BCL3	1	1	0	0	1	0	1	1	0	0	0	0
BCL6	0	1	1	0	1	0	0	0	0	0	0	0
BCL7A	0	0	0	0	0	0	0	1	0	0	0	0
BCL9	1	0	1	0	1	0	0	1	0	1	0	0
HCN2	0	0	0	0	0	0	0	1	0	0	0	0
BCR	0	0	0	0	1	0	0	1	0	0	0	0
BCS1L	1	1	1	1	1	1	1	1	1	1	1	1
BDH1	0	0	0	1	1	1	0	1	1	0	1	0
BGLAP	1	1	1	1	1	1	1	1	1	1	1	1
CEACAM1	1	1	1	1	1	1	1	1	1	1	1	1
BID	0	0	0	0	0	0	0	0	0	0	0	1
BIK	0	0	0	0	0	0	0	0	0	1	0	0
BLM	1	0	1	1	1	0	0	1	1	0	1	0
BLMH	1	1	1	1	1	1	1	1	1	1	1	1
CXCR5	0	0	0	0	0	0	1	0	0	0	1	0
BLVRA	1	0	1	0	0	0	0	1	0	0	0	0
BLVRB	0	0	0	0	0	0	0	0	0	0	0	1
BMI1	0	0	0	0	0	0	0	1	0	0	0	0
BMP8B	0	0	0	0	0	0	0	1	0	0	0	0
BMPR2	1	0	0	1	0	0	0	1	0	0	0	1
POLR3D	1	1	1	1	1	1	1	1	1	1	1	1
BNIP1	0	0	0	0	1	0	1	0	0	0	0	0
BNIP3	0	0	0	0	1	0	0	1	0	0	0	1
BNIP3L	1	0	0	1	0	0	0	0	0	0	0	0
BOK	1	1	1	1	1	1	1	1	1	1	1	1
BPGM	0	0	0	0	1	0	0	1	0	0	0	1
BPHL	0	0	0	1	0	0	1	0	0	0	0	0
BRAF	1	0	1	0	1	0	0	0	1	0	0	0
ZFP36L1	1	0	1	0	0	0	0	0	1	0	0	0
ZFP36L2	1	0	1	0	1	0	0	1	0	0	0	0
BSG	0	0	0	1	0	0	0	1	0	0	0	0
BST2	0	1	0	0	0	0	0	0	1	1	0	1
KLF9	0	0	0	0	1	0	0	0	0	0	0	1
KLF5	1	1	1	1	1	1	1	1	1	1	1	1
BTF3	0	1	0	0	0	1	0	0	1	0	0	0
BTF3L1	1	1	1	1	1	1	1	1	1	1	1	1
BTG1	1	0	0	0	1	0	1	0	0	0	0	0
BYSL	1	1	1	1	1	1	1	1	1	1	1	1
TSPO	1	1	1	1	1	1	1	1	1	1	1	1
C1QBP	0	0	0	1	0	0	0	0	0	0	0	0
C1R	1	1	1	1	1	1	1	1	1	1	1	1
C1S	0	0	0	1	0	0	0	0	0	0	0	0
C2	0	0	0	0	1	0	0	0	1	0	0	0
C4B	1	1	1	1	1	1	1	1	1	1	1	1
C4BPB	1	0	0	0	1	0	1	0	0	0	0	0
OSGIN2	1	1	1	1	1	1	1	1	1	1	1	1
C11orf2	1	1	1	1	1	1	1	1	1	1	1	1
MRPL49	1	1	1	1	1	1	1	1	1	1	1	1
ZNHIT2	0	0	0	0	0	1	0	1	0	0	0	0
C11orf9	1	1	1	1	1	1	1	1	1	1	1	1
C11orf10	1	1	1	1	1	1	1	1	1	1	1	1
C16orf3	1	1	1	1	1	1	1	1	1	1	1	1
FMNL1	0	0	0	0	1	0	0	1	0	0	0	0
C18orf1	1	1	1	1	1	1	1	1	1	1	1	1
PTTG1IP	1	0	1	0	0	0	1	0	0	0	0	0
C21orf2	1	1	1	1	1	1	1	1	1	1	1	1
TMEM50B	1	0	0	0	1	0	0	0	0	0	0	0
CA11	0	0	0	0	0	0	0	1	0	0	0	0
CACNA1A	1	0	0	0	0	0	1	0	0	0	0	0
CACNA1B	1	1	1	1	1	1	1	1	1	1	1	1
CACNA1C	1	0	1	0	0	0	0	0	0	0	1	0
CACNA1E	0	0	0	1	0	0	0	0	0	0	0	0
DDR1	0	0	1	0	0	0	0	0	0	0	0	0
CACNB1	0	0	0	0	0	0	0	1	0	0	0	0
CACNB3	0	0	0	0	0	0	1	0	0	0	0	0
SLC25A20	0	0	0	0	0	0	1	0	0	0	0	0
CAD	1	1	1	1	1	1	1	1	1	1	1	1
CALM1	0	0	0	0	0	0	0	1	0	0	0	1
CALM2	0	0	1	0	0	0	0	1	0	0	0	0
CALM3	0	0	0	0	0	0	0	1	0	0	0	0
CALML3	0	0	0	0	0	0	1	1	1	0	0	1
CALR	0	0	0	0	0	0	1	0	0	0	0	0
CALU	1	0	0	0	1	0	0	0	0	0	0	0
CAMK4	0	0	1	0	1	0	1	0	0	0	1	0
CAMK2D	1	0	1	1	1	0	0	1	1	0	1	1
CAMK2G	1	0	0	0	0	0	0	1	0	0	0	0
CAMLG	1	1	1	1	1	1	1	1	1	1	1	1
CANX	0	0	0	1	1	0	0	1	0	0	1	0
CAPG	1	0	0	0	0	0	1	1	0	0	0	1
CAPN1	0	0	0	0	1	0	0	0	0	0	0	0
CAPN2	0	0	0	0	1	0	0	1	0	0	1	0
CAPN3	0	0	0	0	0	0	0	0	0	1	0	0
CAPNS1	0	0	0	0	0	0	0	1	0	0	0	0
CAPS	1	1	1	1	1	1	1	1	1	1	1	1
CAPZA1	1	0	0	1	1	0	0	1	0	0	0	1
CAPZA2	0	0	0	0	1	0	0	1	0	1	0	0
CAST	1	0	1	1	0	0	0	0	0	0	0	1
CAPZB	1	1	0	1	1	0	0	1	0	1	0	1
CARS	0	0	0	1	0	0	0	1	0	0	0	0
CASP1	0	1	1	1	0	0	0	0	0	0	0	0
CASP2	1	0	0	1	0	0	1	1	0	0	0	1
CASP3	0	0	0	0	0	0	0	1	0	0	1	0
CASP4	1	0	1	0	0	0	0	0	0	0	0	0
CASP5	1	1	1	1	1	1	1	1	1	1	1	1
CASP6	1	1	1	1	1	1	1	1	1	1	1	1
CASP7	0	0	0	0	0	0	0	1	0	0	0	0
CASP8	1	0	0	0	1	0	0	1	0	0	0	1
CASP9	1	1	1	1	1	1	1	1	1	1	1	1
CASP10	1	0	0	0	0	0	0	0	0	0	0	0
CAT	0	0	0	1	0	0	0	0	1	0	0	1
RUNX2	1	0	0	0	0	0	1	1	1	1	1	1
RUNX1	1	1	1	1	1	0	1	1	0	1	0	1
RUNX3	1	0	1	1	1	0	0	1	0	0	0	0
CBFB	1	0	0	0	1	0	0	0	0	0	0	1
SERPINA6	1	1	1	1	1	1	1	1	1	1	1	1
CBL	0	0	0	0	0	0	1	0	0	0	1	1
CBLB	1	1	0	1	1	0	1	1	1	1	0	1
SERPINH1	0	0	0	1	0	0	0	1	0	0	0	0
CBR1	0	0	0	0	0	0	0	1	0	0	0	0
CBR3	1	0	0	0	0	0	0	0	0	1	0	0
CCBL1	0	0	0	0	0	0	0	1	0	1	0	0
KRIT1	0	0	0	1	0	0	0	0	0	0	0	0
CCNB1	1	1	1	1	1	1	1	1	1	1	1	1
CCNC	0	0	1	0	0	0	0	0	0	0	0	0
CCND2	1	0	0	0	1	1	0	0	0	0	0	0
CCND3	1	0	0	0	0	0	0	1	1	0	1	0
CCNE1	0	0	0	0	1	0	1	1	0	0	0	0
CCNG1	1	1	1	1	1	1	1	1	1	1	1	1
CCNG2	1	0	0	1	1	0	0	1	0	0	0	1
CCNH	1	1	0	0	0	0	0	0	0	0	1	0
CCNT1	1	1	0	0	0	0	0	0	0	0	0	0
CCNT2	0	0	0	0	1	0	0	1	0	0	0	0
CCT6A	1	1	1	1	1	1	1	1	1	1	1	1
CD2	1	1	0	1	0	0	1	0	0	1	1	0
CD3D	1	1	1	1	1	1	1	1	1	1	1	1
CD3E	1	1	1	1	1	1	1	1	1	1	1	1
CD3G	0	1	0	0	0	0	0	1	0	0	0	0
CD247	1	1	1	1	0	0	0	1	0	0	0	0
CD4	0	0	0	1	0	0	0	0	0	0	0	0
CD6	1	0	0	1	0	0	1	1	0	0	0	1
CD7	0	0	0	0	0	0	1	1	0	0	0	0
CD8A	1	1	1	1	1	1	1	1	1	1	1	1
CD8B	1	0	0	0	0	0	0	0	0	0	0	0
CD9	0	1	0	0	1	0	0	0	0	0	0	0
CD14	1	1	1	1	1	1	1	1	1	1	1	1
CD27	1	1	1	1	1	1	1	1	1	1	1	1
CD28	1	0	0	0	0	0	1	1	1	1	0	0
CD86	1	0	0	0	0	0	0	0	0	0	0	1
TNFRSF8	1	0	0	1	0	0	1	1	0	0	0	1
SCARB1	0	0	0	1	1	0	1	1	1	0	1	0
CD37	0	0	1	0	0	0	0	1	0	1	0	0
CD38	1	1	0	0	1	1	1	0	0	1	1	1
ENTPD2	1	1	1	1	1	1	1	1	1	1	1	1
ENTPD6	0	0	0	0	0	0	0	1	0	0	0	0
CD40	0	0	0	0	1	0	1	0	0	0	0	0
CD40LG	0	0	0	0	0	0	0	1	0	0	0	0
CD44	1	1	1	1	0	0	1	1	0	1	0	1
CD47	1	0	0	1	1	0	1	0	0	0	0	0
CD48	0	0	1	1	1	0	1	0	0	0	0	0
CD53	0	0	1	1	1	0	0	1	1	1	0	1
CD58	1	1	1	1	0	0	0	0	0	0	0	0
CD59	0	0	0	0	0	0	0	0	0	0	1	0
CD63	0	0	0	0	0	0	0	0	1	1	1	0
CD69	1	0	1	1	0	0	1	1	0	0	0	1
CD74	1	0	0	0	0	0	0	1	0	0	0	0
CD79A	1	1	1	1	1	1	1	1	1	1	1	1
CD79B	0	0	0	0	0	0	1	1	0	0	0	0
CD81	0	0	0	0	0	0	0	1	0	0	0	0
CD97	0	0	0	0	0	0	0	0	0	0	1	1
CD151	1	1	1	1	1	1	1	1	1	1	1	1
CDC2L1	1	1	1	1	1	1	1	1	1	1	1	1
LRBA	1	0	0	0	0	0	0	0	0	0	0	1
CDC5L	1	0	1	0	0	0	0	0	0	0	0	0
SEPT7	1	0	1	1	0	0	0	1	0	0	0	1
CDC25B	0	0	0	0	0	0	1	0	0	1	0	0
CDC27	1	0	0	1	0	0	1	0	0	0	1	1
CDC34	0	0	0	0	0	0	0	0	0	0	1	0
CDC42	1	0	1	0	0	0	0	0	0	0	0	1
CDK3	0	1	0	0	0	0	0	1	0	0	1	0
CDK4	1	1	1	1	1	1	1	1	1	1	1	1
CDK5	1	1	1	1	1	1	1	1	1	1	1	1
CDK6	1	1	1	1	1	0	1	1	1	0	1	1
CDK7	0	0	1	0	0	0	0	0	0	0	0	0
CDK8	0	0	0	0	0	0	0	0	0	0	0	1
CDK9	1	0	0	0	0	0	0	1	0	0	0	0
CDKN1A	0	0	0	0	0	0	0	1	1	0	0	1
CDKN1B	0	1	0	1	1	0	0	1	0	0	0	0
CDKN1C	1	1	1	1	1	1	1	1	1	1	1	1
CDKN2A	0	0	0	1	0	0	0	0	0	0	0	0
CDKN2C	0	1	0	0	0	0	0	0	1	0	0	0
CDKN2D	0	0	0	0	1	0	0	0	0	0	0	0
CDKN3	1	0	0	1	0	0	0	0	0	0	0	0
CDR2	1	1	0	1	0	1	0	1	0	1	1	0
CD52	1	1	1	1	1	1	1	1	1	1	1	1
CEBPA	0	0	0	0	0	0	0	1	0	0	1	0
CEBPB	0	0	0	0	1	0	0	1	0	0	0	1
CEBPE	1	1	1	1	1	1	1	1	1	1	1	1
CEBPG	0	0	0	0	0	0	0	1	0	0	0	0
CENPB	1	1	1	1	1	1	1	1	1	1	1	1
CENPC1	0	0	1	1	0	0	0	0	0	0	0	0
CENPF	1	0	1	0	1	0	1	0	0	0	0	0
CETN2	1	1	1	1	1	1	1	1	1	1	1	1
CETN3	0	0	0	0	0	0	0	0	0	1	0	0
CFL1	1	1	1	1	1	1	1	1	1	1	1	1
CFL2	1	1	0	0	0	0	1	1	0	0	0	0
CTSC	1	0	0	1	1	0	0	0	0	0	0	1
CEACAM4	0	0	0	0	0	0	1	0	0	0	0	0
RCBTB2	1	1	0	1	1	0	0	1	0	0	0	1
RCC1	0	0	0	0	0	0	1	1	1	0	0	0
CHD1	1	1	1	1	1	1	1	1	1	1	1	1
CHD2	1	0	0	1	1	0	1	0	0	0	0	0
CHD3	1	0	0	0	1	0	0	0	0	0	0	0
CHD4	0	0	0	0	0	0	0	1	1	0	0	0
CHEK1	1	0	0	0	0	0	0	1	0	0	0	0
FOXN3	1	1	1	1	1	0	1	1	1	0	1	1
CHGA	1	1	1	1	1	1	1	1	1	1	1	1
CHI3L2	0	0	1	1	0	0	1	0	0	0	0	0
CHKA	0	0	0	0	1	0	0	1	0	0	0	0
CHKB	1	1	1	1	1	1	1	1	1	1	1	1
CHM	1	0	0	0	0	0	0	0	0	0	0	0
CHML	1	1	1	1	1	1	1	1	1	1	1	1
CHN1	1	1	0	0	1	0	0	0	1	0	0	0
LYST	0	1	0	0	1	0	0	0	0	0	0	0
CHRNA7	0	0	0	1	0	0	0	0	0	0	0	0
CHRNB2	1	1	1	1	1	1	1	1	1	1	1	1
CHRNE	0	0	1	0	0	0	0	1	0	0	0	0
CHUK	0	0	0	0	0	0	0	1	0	0	0	0
CKB	0	0	0	0	0	0	0	0	1	1	0	0
CIRBP	1	1	1	1	1	1	1	1	1	1	1	1
CISH	0	0	0	0	1	0	0	1	0	0	1	0
TBCB	1	1	1	1	1	1	1	1	1	1	1	1
ERCC8	0	0	0	0	0	0	0	1	0	0	0	0
CKS1B	1	1	1	1	1	1	1	1	1	1	1	1
AP2M1	1	1	1	1	1	1	1	1	1	1	1	1
AP2S1	0	0	0	0	1	0	0	1	0	0	0	0
AP3S1	0	1	0	0	0	0	0	1	0	0	0	0
CLCN2	1	1	1	1	1	1	1	1	1	1	1	1
CLCN3	1	0	1	1	0	0	0	0	0	0	0	0
CLCN6	0	0	0	0	1	0	0	1	0	0	0	0
CLCN7	1	1	1	1	1	1	1	1	1	1	1	1
CLIC1	0	0	1	0	0	0	0	1	0	0	0	0
CLK1	1	0	0	0	0	0	0	0	0	0	1	0
CLK2	0	0	0	0	0	0	0	1	0	0	0	0
CLK3	0	0	0	0	0	0	0	1	0	0	0	0
TPP1	0	0	0	0	1	0	0	0	0	0	0	1
